Movie_name,Adult,GenreList,Budget,Popularity,VoteAvg,VoteCount,Overview,Tagline,Revenue,ReleaseDate,Runtime,OriginalLanguage,ProductionCompany,ProductionCountry,SpokenLanguage
Black Adam,False,"['Action', 'Fantasy', 'Adventure']",0,8.694,0.0,0,"A DC film entered around Shazam's anti-hero nemesis, Black Adam.",,0,2022-07-28,0,en,"[['DC Entertainment', 'US'], ['Warner Bros. Pictures', 'US'], ['New Line Cinema', 'US'], ['Flynn Picture Company', 'US'], ['DC Films', 'US'], ['Seven Bucks Productions', 'US']]",['US'],['en']
Under the Boardwalk,False,"['Animation', 'Comedy']",0,4.122,0.0,0,Grease-like musical set on the Jersey Shore where sea crab tourists clash with land crab townies.,,0,2022-07-22,0,en,"[['Paramount', 'US'], ['Paramount Animation', 'US']]",['US'],['en']
Untitled Jordan Peele Horror Project,False,['Horror'],0,10.522,0.0,0,Plot TBA.,,0,2022-07-22,0,en,"[['Universal Pictures', 'US'], ['Monkeypaw Productions', 'US']]",['US'],['en']
Cancelled,False,[],0,2.323,0.0,0,Plot unknown.,,0,2022-07-22,0,en,[],[],[]
Fantastic Beasts 3,False,['Fantasy'],0,21.865,0.0,0,The third instalment in the Fantastic Beasts franchise.,,0,2022-07-15,0,en,"[['Warner Bros. Pictures', 'US'], ['Heyday Films', 'GB'], ['Framestore', '']]",['GB'],['en']
Kaberi Antardhan,False,['Drama'],0,0.632,0.0,0,Upcoming Movie by Kaushik ganguly,,0,2022-07-13,0,en,"[['Surinder Films', '']]",['IN'],['bn']
Untitled Disney Live Action Project (2),False,['Family'],0,10.357,0.0,0,Plot unknown.,,0,2022-07-08,,en,"[['Walt Disney Pictures', 'US']]",['US'],['en']
Black Panther II,False,"['Action', 'Adventure', 'Science Fiction']",0,19.844,0.0,0,The sequel to Black Panther (2018).,,0,2022-07-06,0,en,"[['Marvel Studios', 'US']]",['US'],['en']
Minions: The Rise of Gru,False,"['Family', 'Animation', 'Action', 'Adventure', 'Comedy']",0,29.726,0.0,0,"A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions.",Brace yourself,0,2022-06-23,0,en,"[['Universal Pictures', 'US'], ['Illumination Entertainment', 'US']]","['FR', 'JP', 'US']",['en']
Banks,False,[],0,0.6,0.0,0,A parody film that parodies the Rocky films.,"YOU KNOW ROCKY, BUT DO YOU KNOW BANKS?",0,2022-07-04,0,en,[],[],[]
Untitled Transformers Movie,False,"['Action', 'Science Fiction']",0,12.353,0.0,0,,,0,2022-06-24,0,en,"[['Allspark Pictures', 'US'], ['Hasbro Studios', 'US'], ['Paramount', 'US'], ['Aurum Producciones', 'ES'], ['Entertainment One', 'CA']]","['CA', 'US']",['en']
